year,week,vacances_zone_c,ferie,inc_varicelle,inc_diarrhee,inc_grippe,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,nb_ope
2010,1,0,0,3735.0,42889.0,10207.0,-1.2857142857142858,-5.714285714285714,0.5428571428571428,4.8999999999999995,1.1428571428571428,48.42857142857143,-4.428571428571429,-7.285714285714286,-3.142857142857143,-7.285714285714286,17.571428571428573,78.57142857142857,89.85714285714286,0.7571428571428571,1009.0,-1.2857142857142858,6.142857142857143,171.57142857142858,12.142857142857142,1839.0
2010,2,0,0,3120.0,61576.0,9134.0,2.2857142857142856,-3.142857142857143,0.39999999999999997,5.671428571428571,1.2857142857142858,6.857142857142857,-1.1428571428571428,-3.7142857142857144,0.0,-3.7142857142857144,22.285714285714285,61.285714285714285,93.14285714285714,1.2857142857142858,1014.5714285714286,2.2857142857142856,6.571428571428571,166.85714285714286,12.714285714285714,1775.0
2010,3,0,0,1420.0,60448.0,4816.0,6.142857142857143,0.14285714285714285,0.0,7.457142857142857,1.7142857142857142,38.57142857142857,0.0,-0.42857142857142855,2.2857142857142856,-0.42857142857142855,17.571428571428573,46.42857142857143,85.42857142857143,0.09999999999999999,1021.4285714285714,6.142857142857143,7.0,160.28571428571428,9.857142857142858,1496.0
2010,4,0,0,1284.0,61601.0,4348.0,1.2857142857142858,-4.285714285714286,0.32857142857142857,5.728571428571428,1.5714285714285714,87.42857142857143,-4.571428571428571,-6.285714285714286,-2.0,-6.285714285714286,19.285714285714285,48.714285714285715,83.71428571428571,0.39999999999999997,1016.8571428571429,1.2857142857142858,8.428571428571429,148.57142857142858,12.428571428571429,1629.0
2010,5,0,0,6835.0,47258.0,2888.0,4.0,-2.2857142857142856,0.042857142857142864,7.700000000000001,1.5714285714285714,54.285714285714285,-1.4285714285714286,-2.7142857142857144,0.5714285714285714,-2.7142857142857144,21.285714285714285,54.857142857142854,86.42857142857143,1.7428571428571427,1016.7142857142857,4.0,8.142857142857142,192.0,12.714285714285714,1653.0
2010,6,0,0,3463.0,44471.0,1695.0,-0.2857142857142857,-6.0,0.1571428571428571,8.114285714285716,1.5714285714285714,7.142857142857143,-6.571428571428571,-8.571428571428571,-3.7142857142857144,-8.571428571428571,19.285714285714285,55.857142857142854,81.57142857142857,0.18571428571428572,1009.8571428571429,-0.2857142857142857,8.428571428571429,164.14285714285714,13.285714285714286,1703.0
2010,7,2,0,7090.0,39867.0,2646.0,5.0,-2.0,0.09999999999999999,9.028571428571428,1.8571428571428572,28.571428571428573,-0.5714285714285714,-2.0,1.1428571428571428,-2.0,20.714285714285715,56.142857142857146,87.42857142857143,0.31428571428571433,1000.7142857142857,5.0,7.285714285714286,180.85714285714286,12.714285714285714,1642.0
2010,8,7,0,5632.0,29301.0,3000.0,8.714285714285714,3.2857142857142856,0.0,7.257142857142858,2.2857142857142856,80.85714285714286,4.714285714285714,2.5714285714285716,5.571428571428571,2.5714285714285716,29.428571428571427,78.28571428571429,93.14285714285714,2.7428571428571424,1001.7142857142857,8.714285714285714,7.0,192.28571428571428,18.571428571428573,2488.0
2010,9,7,0,5897.0,28556.0,1023.0,6.857142857142857,-1.0,0.0,9.014285714285714,1.8571428571428572,71.71428571428571,-3.2857142857142856,-1.2857142857142858,2.0,-1.2857142857142858,19.571428571428573,34.142857142857146,72.0,0.37142857142857144,1016.7142857142857,6.857142857142857,8.285714285714286,117.71428571428571,12.142857142857142,1491.0
2010,10,0,0,4801.0,32471.0,260.0,3.5714285714285716,-6.0,0.028571428571428574,10.799999999999999,1.8571428571428572,20.0,-7.714285714285714,-6.285714285714286,-2.2857142857142856,-6.285714285714286,19.714285714285715,25.571428571428573,68.71428571428571,0.028571428571428574,1019.0,3.5714285714285716,9.571428571428571,82.42857142857143,12.285714285714286,1583.0
2010,11,0,0,2227.0,17441.0,457.0,12.285714285714286,3.0,0.0,10.442857142857141,2.7142857142857144,17.142857142857142,2.0,4.428571428571429,6.857142857142857,4.428571428571429,21.714285714285715,38.285714285714285,73.71428571428571,0.42857142857142855,1024.142857142857,12.285714285714286,8.857142857142858,138.42857142857142,13.714285714285714,1688.0
2010,12,0,0,2523.0,19208.0,337.0,12.0,4.714285714285714,0.0,9.742857142857144,2.5714285714285716,67.42857142857143,5.142857142857143,5.714285714285714,7.714285714285714,5.714285714285714,22.285714285714285,52.42857142857143,84.71428571428571,2.157142857142857,1014.8571428571429,12.0,7.857142857142857,185.85714285714286,14.714285714285714,1515.0
2010,13,0,0,3064.0,14131.0,272.0,8.142857142857142,1.8571428571428572,0.2857142857142857,9.028571428571428,1.4285714285714286,80.0,3.142857142857143,1.7142857142857142,4.714285714285714,1.7142857142857142,20.428571428571427,72.57142857142857,90.0,3.585714285714286,1012.1428571428571,8.142857142857142,6.285714285714286,213.57142857142858,13.571428571428571,1621.0
2010,14,0,1,9572.0,7207.0,1609.0,14.0,4.0,0.0,10.685714285714285,3.0,24.428571428571427,3.142857142857143,6.571428571428571,8.285714285714286,6.571428571428571,17.428571428571427,34.42857142857143,73.57142857142857,0.05714285714285715,1022.7142857142857,14.0,8.571428571428571,122.28571428571429,11.142857142857142,1748.0
